policy	arm_pulled	reward	regret
UCB	109501	0	0.0133392
UCB	109495	0	0.0136356
UCB	109511	0	0.0152402
UCB	109494	0	0.0127681
UCB	109514	0	0.018903
UCB	109503	0	0.0159716
UCB	109453	0	0.0486601
UCB	109498	0	0.0145912
UCB	109510	0	0.0243702
UCB	109484	0	0.0340802
UCB	109512	0	0.0387683
UCB	109473	0	0.0360353
UCB	109515	0	0.0119893
UCB	109502	0	0.0392914
UCB	109513	0	0.00550482
UCB	109505	1	0.0297774
UCB	109508	0	0.00843954
UCB	109506	0	0.0448069
UCB	109509	0	0.0277853
UCB	109492	0	0.0163643
UCB	109505	0	0.0425735
UCB	109505	0	0.00591986
UCB	109473	0	0.0558866
UCB	109511	0	0.0181211
UCB	109495	0	0.0408891
UCB	109514	0	0.018903
UCB	109513	0	0.00550482
UCB	109498	0	0.0145912
UCB	109503	0	0.0353478
UCB	109453	0	0.0220427
UCB	109512	0	0.0280513
UCB	109501	0	0.0133392
UCB	109484	0	0.0340802
UCB	109509	0	0.018043
UCB	109515	0	0.0686491
UCB	109502	0	0.0106782
UCB	109492	0	0.0163643
UCB	109510	0	0.0206323
UCB	109506	0	0.0157927
UCB	109494	0	0.0127681
UCB	109508	0	0.0145875
UCB	109505	0	0
UCB	109503	0	0.0353478
UCB	109506	0	0.0448069
UCB	109501	0	0.0133392
UCB	109510	0	0.00314446
UCB	109453	0	0.00981057
UCB	109495	0	0.0136356
UCB	109473	0	0.0558866
UCB	109502	0	0.0106782
UCB	109494	0	0.0109403
UCB	109513	1	0.00550482
UCB	109513	0	0.00550482
UCB	109515	0	0.0119893
UCB	109514	0	0.0100083
UCB	109498	0	0.0145912
UCB	109511	0	0.0181211
UCB	109509	0	0.018043
UCB	109492	0	0.0163643
UCB	109512	0	0.0280513
UCB	109508	0	0.0145875
UCB	109484	0	0.0535884
UCB	109505	0	0.0425735
UCB	109513	0	0.00550482
UCB	109513	0	0
UCB	109505	0	0
UCB	109495	0	0.0136356
UCB	109498	0	0.0483074
UCB	109512	0	0.0387683
UCB	109501	0	0.0133392
UCB	109514	0	0.0284807
UCB	109515	0	0.0119893
UCB	109473	0	0.0360353
UCB	109494	0	0.0127681
UCB	109453	0	0.0486601
UCB	109508	0	0.0159609
UCB	109492	0	0.0163643
UCB	109506	0	0.0448069
UCB	109510	0	0.0350307
UCB	109484	0	0.0131493
UCB	109502	0	0.0106782
UCB	109503	0	0.0159716
UCB	109511	0	0.0152402
UCB	109509	0	0.0174353
UCB	109505	0	0.0297774
UCB	109513	0	0.00550482
UCB	109495	0	0.0512491
UCB	109498	0	0.053894
UCB	109515	0	0.0119893
UCB	109514	0	0.0218072
UCB	109511	0	0.0181211
UCB	109473	0	0.00888123
UCB	109501	0	0.0627377
UCB	109506	0	0.0296472
UCB	109512	0	0.010224
UCB	109508	0	0.00843954
UCB	109502	0	0.0145796
UCB	109503	0	0.0159716
UCB	109510	1	0.0243702
UCB	109510	0	0.00314446
UCB	109510	0	0.00314446
UCB	109492	0	0.0163643
UCB	109494	0	0.0109403
UCB	109484	0	0.012676
UCB	109453	0	0.0486601
UCB	109509	0	0.0277853
UCB	109510	0	0.0350307
UCB	109505	0	0
UCB	109513	0	0.0253484
UCB	109503	0	0.0159716
UCB	109473	0	0.0558866
UCB	109494	0	0.0109403
UCB	109515	0	0.0119893
UCB	109498	0	0.0145912
UCB	109453	0	0.0486601
UCB	109492	0	0.0163643
UCB	109511	0	0.0176941
UCB	109495	0	0.0672162
UCB	109512	0	0.0387683
UCB	109506	0	0.0428681
UCB	109484	0	0.012676
UCB	109502	0	0.0106782
UCB	109509	0	0.018043
UCB	109501	0	0.0133392
UCB	109514	0	0.0100083
UCB	109508	0	0.0340762
UCB	109513	0	0.00550482
UCB	109510	0	0.00314446
UCB	109505	0	0.0297774
UCB	109512	0	0.0417992
UCB	109473	0	0.00888123
UCB	109506	0	0.0157927
UCB	109514	0	0.0100083
UCB	109515	0	0.0119893
UCB	109484	0	0.012676
UCB	109495	0	0.0512491
UCB	109498	0	0.053894
UCB	109508	0	0.0145875
UCB	109494	0	0.0109403
UCB	109511	0	0.0181211
UCB	109503	0	0.0159716
UCB	109492	0	0.0163643
UCB	109453	0	0.00981057
